SiteID,Lat,Lon,UBA_ha,Gradient_per,Elev_m
POCR,34.900913,-83.578079,126.2,6,705.4
PRBR,34.770477,-84.042717,258.8,16.7,827.4
PRRU,41.692837,-77.918106,495.9,2.7,558.9
PTH-1,35.656788,-83.13501,831.1,13.5,1095.7
PTH-2,35.66209,-83.135162,496.4,16.3,1152.1
RACR,34.946041,-83.325287,64.7,1.9,967.9
RDLO,38.31625,-79.35321,2395.7,4.6,708.2
RDUP,38.334232,-79.337708,1906.1,3.6,771.6
ROC-1,35.761002,-83.210655,541.8,6.8,629
ROC-2,35.759605,-83.211716,537.7,9.7,645.4
ROC-3,35.757736,-83.212738,535.5,13.5,667.4
ROC-4,35.754444,-83.21375,533.9,6.5,686.7
ROC-5,35.754383,-83.214012,532.1,7.2,712.7
ROC-6,35.753349,-83.214073,530.6,15.9,725
ROC-7,35.745747,-83.216179,315.3,18.1,845.1
ROFK,37.05204,-81.437355,1225.2,16.8,905.5
ROFO,36.067509,-82.596039,571.2,5.3,983.7
RORU,41.479416,-78.140358,362.1,4.9,365.7
RPMB,36.120071,-82.095627,112.1,10.5,1241.3
RPR-1,35.634388,-83.4701,898.6,21.6,1035.2
RPR-2,35.63295,-83.468102,890.5,8.2,1059.2
RPR-5,35.626675,-83.470314,759.2,14.5,1140.6
RRTR,39.69397,-76.805763,296.8,3.3,185.3
SAM-6,35.578938,-83.654305,245,19.1,1058.3
SAM-7,35.574901,-83.65274,224.5,16.1,1095.8
SAM-8,35.573842,-83.651304,151.1,16.7,1119.4
SARI,39.600445,-79.069879,4863.1,19,549.2
SHRU,39.676476,-76.770905,253.3,11.9,163.2
SIL-1,35.59433,-83.567497,343.2,45.8,1039.4
SIL-10,35.585651,-83.564804,273.9,14.4,1131.4
SIL-4,35.591694,-83.566635,331.8,6.9,1065.3
SIL-9,35.586334,-83.565048,288.5,6.7,1125.7
SIRU,39.689018,-76.769867,328.9,1,179
SMBR,39.525089,-76.532013,445.1,8.1,125.5
SRUP,39.60001,-79.055,3438.2,5.4,583.1
STK-1,35.582123,-83.658608,243.6,15.9,990.4
TAY-1,35.605988,-83.321053,288.7,20.4,1021.7
TAY-11,35.612595,-83.314064,166.9,16.9,1117.3
TAY-4,35.608017,-83.319771,257.7,12.6,1047.2
TAY-9,35.61105,-83.315506,178.9,6.7,1095.5
TOM-1,35.760968,-83.207494,449.1,10.8,642.1
TPCR,34.95382,-83.22235,589.6,10.8,566.4
UBC,35.0452,-83.4471,204.1,8,833.1
WAL-1,35.54122,-83.643171,295.1,26.3,1093.9
WAL-1N,35.52623,-83.633865,737.5,13.5,898
WAL-2,35.542096,-83.642693,284.2,4.8,1105.1
WARU,39.691417,-76.777972,569.8,13.2,172.5
WCP-1,35.63427,-83.461884,1797.4,13,1121.8
WCP-2,35.622585,-83.44252,848,8.5,1227.7
WOBR,34.862796,-83.640389,107.7,6.1,865
WYRU,41.602211,-78.290344,655.7,9.7,441.4
